Slank;Formal
aplous;aplaus
dehhg;deh
apdete;update
penyeselesain;penyelesaian
berminggu2,1157383;berminggu-minggu, 1157383
emailcek;email cek
ke2;kedua
ke3;ketiga
ke4;keempat
ke5;kelima
masukn;masukan
ke6;keenam
ter-update;terupdate
automatiss;otomatis
fikir2;pikir-pikir
kelass;kelas
hobby;hobi
pengiriim;pengirim
trim;terima kasih
biasah;biasa
satu²nya;satu-satunya
maintenantce;maintenance
melakulan;melakukan
slmt;selamat
minimumnya;minumnya
pervaharui;perbarui
dancok;sialan
kont00ll;kontol
gwsaldo;saya saldo
ngontol;kontol
ngecewain;mengecekawakan
bisalah;bisa lah
pasilitas;fasilitas
taunngga;tau tidak
gush;bagus
sendiirii;sendiri
livinnys;livinnya
teselah;setelah
tuhaann;tuhan
ngalami;mengalami
brott;banget
memgikuti;mengikuti
otomastis;otomatis
palsa;paksa
cbang;cabang
udate;update
mauya;maunya
dbkak;dibuka
streess;stress
bulanny;bulannya
muyak;muak
gera;gerak
diupgrad;diupgrade
24tahun;24 tahun
dalah;dalam
gga;tidak
menten;maintenance
laporanya;laporannya
sangaatpuas;sangat puas
tengok;lihat
mangkin;makin
sekali2;sekali-kali
saldonaa;saldonya
ooh;oh
okokokok;oke
okedahh;oke deh
slm;salam
brkurng;berkurang
hha;hahaha
ihh;ih
listrik/no;listrik/nomor
taglis;tagihan listrik
diabded;diupdate
termakasih;terima kasih
transfer/pun;transfer ataupun
mayan;lumayan
-rupiah;rupiah
-juga;juga
mantappzz;mantap
lawakgak;lucu tidak
antar2;antar-antar
munculjangan;muncul jangan
12kali;12 kali
kata²;kata-kata
doanload;download
amanh;aman
myepelekan;menyepelekan
mndaftar;mendaftar
angkat2;angkat-angkat
notipnya;notifikasinya
enk;enak
perbaoki;perbaiki
haya;hanya
perintahe;perintahnya
taaii;tai
sbenarnya;sebenarnya
jtuannya;tujuannya
cepat2transaksi;cepat-cepat transaksi
gilakk;gila
sekelass;sekelas
dibikn;dibukin
gimnaa;gimana
itikadd;itikad
baikknya;baiknya
mikirr;mikir
syuka;suka
60detik;60 detik
ngapdate;update
lambretta;lambat
lelahh;lelah
deah;dah
merigikan;merugikan
castumer;customer
muadah;mudah
iss;is
tanda2;tanda-tanda
dekk;dek
terlaku;terlalu
dikotaa;dikota
plaing;planing
reweel;rewel
kol;kok
du;di
setiapmau;setiap mau
update²;update-update
mncoba;mencoba
sukha;suka
anjjng;anjing
aka;aja
spaylaternya;shopee paylaternya
piktur;fitur
kertu;kartu
updatetan;updatean
filtur;fitur
got;good
serin;sering
transver;transfer
rusngan;ruangan
mikin;bikin
bestt;terbaik
logingny;loginnya
secepatx;secepatnya
guriihh;gurih
potongn;potongan
ngendapnya;endapnya
pgwai;pegawai
ngmbil;ngambil
gmpang;gampang
ngpdet;update
upgreat;upgrade
trsanksi;transaksi
gembell;jelek
tertahannya;tertahannya
kemamanan;keamanannya
thankyouu;terima kasih
inii;ini
bepaksaan;memaksa
pinjamanya;pinjamannya
waduhh;waduh
kpd;kepada
kesalahan²;kesalahan-kesalahan
bualan;bulan
kereditan;kreditan
ituh;itu
inalillahi;innalillahi
gn;gunung
dsitu;disitu
biyar;biar
20hr;20 hari
viddio;video
sering²;sering-sering
prefikasi;verifikasi
gasih;tidak sih
transferlah;transfer lah
jpb;job
yan;yang
download/tdk;download/tidak
wib-19.25;wib 19.25
luvin;libin
instans;instan
ambis;abis
pleksible;fleksibel
aaplikasi;aplikasi
keseringwn;keseringan
tmpt;tempat
ntapp;mantap
kalee;sekali
etoll;e-toll
up/tnsfr;up/transfer
mndwnld;mendownload
msknnya;masukannya
kelek;jelek
susahnyainta;susahnya minta
biruk;buruk
kont;kontol
sblm2nya;sebelum-sebelumnya
memikirakan;memikirkan
oknum2;oknum-oknum
sedetil;sedetail
aplicasi;aplikasi
sepurna;sempurna
celeekk;jelek
anane;adanya
gemblung;bodoh
atou;atau
tf/topup;transfer/top up
yakk;ya
kelezz;kali
hay;hei
malam²;malam-malam
alaah;halah
broo;bro
itnyaa;itnya
pembikinan;pembuatan
kenpaa;kenapa
pliiss;tolong
ngehambat;menghambat
gitu²;gitu-gitu
woee3ee;woi
dowlod;download
bentar²;bentar-bentar
ft;transfer
plylaternya;paylaternya
rekng;rekening
tledor;teledor
gha;tidak
lemò;lemot
teroos;terus
hsbis;habis
otomatiss;otomatis
jamnyaa;jamnya
transaksu;transaksi
giod;good
kasiin;kasih
ngabdate;update
mlhan;malahan
perbahharui;perbarui
hadueh;haduh
ulang²;ulang-ulang
menyenakan;menyenangkan
vuat;buat
hampie;hampir
dipwrbaiki;diperbaiki
ho;ho
kmrn2;kemarin-kemarin
memudahkanklw;memudahkan kalau
may;mau
updte2;update-update
liemot;lambat
aolikasinya;aplikasinya
tggal;tanggal
parah²;parah-parah
loginx;loginnya
instalx;installnya
sebelumx;sebelumnya
adain;adakan
penawran;penawaran
dtrima;diterima
bngd;banget
nch;nih
namiun;namun
perbaikkan;perbaikan
tehgnologi;teknologi
loadingterus;loading terus
terpental;terpental
hadeeuh;haduh
tess;tes
20k;20 ribu
tranfr;transfer
ilivin;livin
tdr;tidur
sebula;sebulan
pasilitasnya;fasilitasnya
kebukabuka;kebuka-buka
donkjaga;dong jaga
mebatu;membantu
hitung2;hitung-hitung
maakin;makin
mauanya;maunya
lokasinyanya;lokasinya
lainn;lain
sulitt;sulit
stenga;setengah
masalhny;masalahnya
20menit;20 menit
40ribu;40 ribu
instalnya;installnya
kalin;kalian
aplikasihnya;aplikasinya
krang;kurang
sdikit2;sedikit-sedikit
hedehh;haduh
bsaa;bisa
bermanfa;bermanfaat
ceoat;cepat
soldo;saldo
120rb;120000
confort;nyaman
cal;call
tanggung²;tanggung-tanggung
taelaso;tahi
menuh²;penuh-penuh
pusingg;pusing
smape;sampai
teblokir;terblokir
apgred;upgrade
jembuut;jembut
nian;banget
diperbagus;diperbaiki
ewaled;electronic wallet
update/setaun;update per setahun
meng-updatenya;mengupdatenya
kurng;kurang
inih;ini
dbes;the best
taro;taruh
padagal;padahal
beruba;berubah
kapasita;kapasitas
nyeblin;menyebalkan
astghfirullah;astagfirullah
ancore;ancur
okoko;oke oke
bwat;buat
10thn;10 tahun
aptudate;up to date
menghawatirkan;mengkhawatirkan
elektronikapl;elektronik aplikasi
yeah;ya
pempes;pampers
500k;500000
wni;warga negara indonesia
noce;bagus
sering2;sering-sering
sakarang;sekarang
lemot/diam;lambat atau diam
terjadual;terjadwal
bonus2;bonus-bonus
supraise;surprise
merasah;merasa
solusinua;solusinya
haruse;harusnya
maunyaa;maunya
gimanaa;bagaimana
mbankingnyaa;mobile bankingnya
puooll;banget
perfect;sempurna
tagihan2;tagihan
pertahakan;pertahankan
banga;banget
mobilee;mobile
perbank;per bank
sett;cepat
terbest;terbaik
garibet;tidak ribet
pol;banget
manthull;mantap betul
kebantu;terbantu
admnistrasi;administrasi
5;lima
reccomended;recommended
pulsa/kuota;pulsa atau kuota
cuss;ayo
rekomendasiin;rekomendasikan
menggunakanya;menggunakannya
membantuu;membantu
sepertu;seperti
benerr;benar
ehbadanscan;eh badan scan
fitu-fiturnya;fitur-fiturnya
kmg;kredit multiguna
trmkasih;terima kasih
digunainnya;digunakannya
amann;aman
dsni;disini
kencengin;kencangkan
geleng2;geleng-geleng
nyamah;nyaman
tpp;tapi
terblockir;terblokir
15k;15000
🤭;haha
rekan2;rekan-rekan
ngulangi;ulang
parahlahh;parah banget
oagi;lagi
enah;enak
mudab;mudah
sekompatible;sekompatibel
pitur2nya;fitur-fiturnya
verifykasinya;verifikasinya
kumaha;bagaimana
gadget;perangkat
aoknya;aplikasinya
ttansaksi;transaksi
selayaknga;selayaknya
belokir;blokir
veritfikasi;verifikasi
isaku;i.saku
diilangin;dihilangkan
kelik;tekan
oyy;woi
gaal;gagal
internetnyaa;internetnya
muteerr;mutar
lancar²;lancar-lancar
berwana;memiliki warna
ges;guys
besokannya;besoknya
oprasi;operasi
semalem;semalam
terribet;paling ribet
jakonenya;jak one nya
sekitaran;sekitar
secepat;cepat
gabsa2;tidak bisa-bisa
ccde;cacat
d'perbaikin;diperbaiki
laampuny;lampunya
oren;oranye
transaksi/tf;transaksi atau transfer
hijau²;hijau-hijau
tokped;tokopedia
lngkap;lengkap
pembuatn;pembuatan
ucap;ucacp
apes2;sial
500rbu;lima ratus ribu
inia;ini
angus;hangus
dijakone;the jak one
godd;good
bnr2;benar-benar
vertivikasi;verifikasi
kmrind;kemarin
fb;facebook
watch/youtube;watch atau youtube
reknya;rekeningnya
mengisis;mengisi
selesao;selasa
reaktifasinya;reaktivasinya
kesalahan19;kesalahan 19
sesang;sedang
gabs;tidak bisa
jdimemudahkan;jadi memudahkan
jgaga;juga tidak
telf;telepon
msin;mesin
doangan;saja
usser;user
diutakatik;di otak atik
dftr;daftar
programmingnya;programming nya
programnya;program nya
duuhh;aduh
sabarnya;sabar nya
tissue;tisu
terburukk;terburuk
kbnykn;kebanyakan
laoding;loading
kp;tapi
fas;fast
bagusin;perbagus
doonk;dong
saldo/tf;saldo atau transfer
bolak2;bolak-balik
ma'af;maaf
ballikin;kembalikan
banyak2;banyak-banyak
ngemil;nge-email
internet/data;internet atau data
sdkit;sedikit
ssmpe;sampai
ditemukqn;ditemukan
nyarinya;mencarinya
dmna;dimana
bner²;benar-benar
dulu/mau;dulu atau mau
verksi;versi
kureng;kurang
dikirim²;dikirim-kirim
disiru;disitu
saratnya;syaratnya
70thn;70 tahun
bacany;bacanya
offtine/internet;offline atau internet
gabisa²;tidak bisa-bisa
bayat;bayar
17kali;17 kali
jiao;ngentot
pengkap;lengkap
baik-bqik;baik-baik
geblek;bodoh
updete;update
uangnpadahal;uang padahal
busa;bisa
40juta;40 juta
gagl;gagal
pya;punya
uangmasuk;uang masuk
sudah3;sudah 3
wfi;wifi
lai;lain
sampai2;sampai-sampai
waiahnya;wajahnya
perbaharuan;pembaruan
ajadah;aja deh
mahall;mahal
connect2;connect-connect
apa2an;apa-apaan
kekirim2;kekirim-kirim
sipaling;yang paling
rapih²;rapih-rapih
bare;baterai
banget.;banget .
apalkasi;aplikasi
muternyaa;mutarnya
setrngah;setengah
sok2an;sok-sokan
gajls;tidak jelas
lengkao;lengkap
system'/bug;sistem atau bug
berharao;berharap
keseel;kesal
tankyu;terima kasih
vek;cek
ghak;tidak
mskipun;meskipun
misua;masa
jak0ne;jakone
piliham;pilihan
gjlas;tidak jelas
offline/tidak;offline atau tidak
perbiki;perbaiki
pqdahal;padahal
ngatasin;mengatasi
saldonyanya;saldonya
maximal;maksimal
bansos;bantuan sosial
apss;aplikasi
mail;email
ngebaca;terbaca
tnpa;tanpa
l;l
memperbaharui;memperbarui
optimalin;optimalkan
baanget;banget
firur;fitur
swfoto;swafoto
mantegin;mantengin
instruksiapapun;instruksi apapun
anjingg;anjing
isiny;isinya
ngemudahin;memudahkan
recommend;rekomendasi
recomen;rekomendasi
jokone;jakone
pelanannya;pelayanannya
looding;loading
recomendet;rekomendasi
praktiss;praktis
transkasi;transaksi
ramah²;ramah-ramah
diverifikasipadahal;diverifikasi padahal
mantaplahhpokokx;mantap lah pokoknya
manteb;mantap
tingkatin;tingkatkan
lounching;launching
terus2an;terus-terusan
tenggleng;tengleng
yaudahlah;iya sudah
ngakk;tidak
enteng2;enteng-enteng
muluk2;muluk-muluk
verifiikasi;verifikasi
ngabis;habis
pengguna/nasabah;pengguna atau nasabah
oake;oke
vocher;voucher
muterr;mutar
penrjalanan;perjalanan
peripikasi;verifikasi
muka/wajah;muka atau wajah
buruk-buruk-and;buruk buruk dan
praktek;praktik
josshtt;jos
jackonenya;jakonenya
semuanyaa;semuanya
makinn;semakin
5mnit;5 menit
aac;acc
10mntan;10 menitan
oembayaran;pembayaran
bgitu;begitu
ini2;ini-ini
inimah;ini mah
gbsa2;tidak bisa-bisa
sndiri-wifi;sendiri wifi
gabsa;tidak bisaa-bisa
anjj;anjing
4-5x;4 sampai 5 kali
commentnya;komentarnya
nua;nya
wajahny;wajahnya
naekin;naikan
ngaktifinnya;aktifkannya
trkunci;terkunci
slah2;salah-salah
terkuncibisakah;terkunci bisakah
sumapah;sumpah
hanis;habis
sumaph;sumpah
nagabis;habis
emuk;banget
ngenalin;kenal
terhadapan;terhadap
gendala;kendala
btnjakim;btn jaktim
btnmobile;btn mobile
tertebest;terbaik
edeposito;e-deposito
topupnya;top upnya
kpr;kredit pemilikan rumah
tv;televisi
banayak;banyak
tranfernya;transfernya
terdfftar;terdaftar
kal;kali
menggunalan;menggunakan
muda2;muda-muda
dimasa;di masa
darimana;dari mana
favorite;favorit
hatii;hati
penipuann;penipuan
4jam;4 jam
traksi;transaksi
valit;valid
se;sih
gilaa;gila
terbaiik;terbaik
kmrn²;kemarin-kemarin
assu;asu
potongan2;potongan-potongan
kprworst;kpr worst
kalangam;kalangan
milenial;millenial
❤️;suka banget
administration;administrasi
macam2;macam-macam
berfingsi;berfungsi
gegaman;genggaman
bangkingnya;bankingnya
btn-mobile;btn mobile
lebh;lebih
pokokny;pokoknya
klian;kalian
efesian;effisien
recommende;rekomendasi
pembayaraan;pembayaran
menguran;mengurangi
speti;spesifikasi
btb;btn
kalu;kalau
transaksinyaa;transaksinya
siapun;siapapun
dijayani;dilayani
☺️;senyum
mbnaking;mobile banking
cpt²;cepat
smeeialeh;semakin
gamoang;gampang
ngatri;ngantri
pbanking;banking
𝒈𝒂𝒌;tidak
mobille;mobile
rekomendeed;recommended
didalem;didalam
aplikasine;aplikasinya
ayoo;ayo
yukk;yuk
melenial;millenial
dikemudian;di kemudian
lembayaran;pembayaran
terimkasih;terima kasih
ternsaksi;transaksi
buoa;buka
terscan;terpindai
riwaya;riwayat
ribet²;ribet-ribet
mobile-kpr-buka;membuka kpr mobile
rekening-bank-mobile;rekening bank mobile
bauar;bayar
kepuasaan;kepuasan
rekomenden;rekomendasi
kprdi;kpr di
pembayaran/yang;pembayaran yang
fitur2ny;fitur-fiturnya
namany;namanya
trnsfr;transfer
bill;tagihan
tartun;tarif tunai
sekqrang;sekarang
dann;dan
ternyaa;ternyata
noww;now
efektiv;efektif
frendly;friendly
lengakap;lengkap
mjnta;minta
bootingnya;booting-nya
kobile;mobile
susah²;susah-susah
segalah;segala
sukses²;sukses-sukses
kahh;kah
18rb;18 ribu
52rb;52 ribu
lebi;lebih
gatakut;ga takut
perluu;perlu
prosenya;prosesnya
terbangu;terbangun
ghoib;ghaib
transpar-teranspar;transparan
stia;setia
pamahi;pahami
recomed;rekomendasi
mantapmantap;mantap-mantap
broswer;browser
youu;you
terbail;terbaik
darimulai;dari mulai
pahamami;pahami
temenaplikasi;teman aplikasi
sekebon;sekebun
contact;kontak
whatappnya;whatsapp-nya
aplikasimini;aplikasi mini
kembangin;kembangkan
perseorang;perseorangan
disemua;di semua
pemakaianya;pemakaiannya
bertransaksinya;bertransaksi-nya
fiturny;fiturnya
mengoprasiannya;mengoperasikannya
fitur²nya;fitur-fiturnya
memgunakan;menggunakan
gaiss;guys
bagimana;bagaimana
apalikasi;aplikasi
ntuk;untuk
ovt;overthinking
lucuu;lucu
alkhamdulillah;alhamdulillah
atam;atm
muudahkan;memudahkan
cuz;karena
mobilr;mobile
mantaep;mantap
picturenya;fotonya
oprasikan;operasikan
gaess;guys
cafe;kafe
bermanfaaf;bermanfaat
revearal;referral
ktivitas;aktivitas
diberikann;diberikan
lainnyaa;lainnya
banvett;banget
menjadj;menjadi
jmlh;jumlah
bungak;bunga
fauzanmuzakii;fauzan muzakii
rispekk;respek
abangkuu;abangku
kpotong;terpotong
adiministration;administrasi
alert;peringatan
code0010-demi;kode 0010 - demi
gudjob;good job
refrensi;referensi
tetab;tetap
terkirimpun;terkirim pun
upgread;upgrade
bantuinnya;membantunya
ditambakan;ditambahkan
dilakuin;dilakukan
ngerasa;merasa
tool;alat
yok;yuk
canter;center
cepat2lah;cepat-cepatlah
axab;azab
pakenya;pakainya
segampang;semudah
clear;jelas
snaagt;sangat
kudunya;seharusnya
yangg;yang
pelerr;peler
dokumen2;dokumen-dokumen
diupload;diunggah
2,4jt;2,4 juta
keproses;terproses
korannya;beritanya
soft;lembut
bank/ewalet;bank/e-wallet
andelan;andalan
quit;berhenti
adekku;adikku
pemberitahuanya;pemberitahuannya
sendiriharus;sendiri harus
ngirm;mengirim
shoope;shopee
ngembali'in;mengembalikan
901k;901 ribu
204k;204 ribu
696k;696 ribu
pemabayaran;pembayaran
personnya;orangnya
djalankan;dijalankan
trpakai;terpakai
shopepay;shopeepay
perbakilagi;perbaiki lagi
tarok;taruh
35rb;35 ribu
6,5rb;6,5 ribu
kroscek;cross-check
bertaransaksi;bertransaksi
charge;biaya
settle;selesaikan
keterangany;keterangannya
rolong;tolong
✌️;mantap
tonggakan;tunggakan
mksudnya;maksudnya
ribeett;ribet
btncontactcenter;btn contact center
mikir2;berpikir-pikir
digitilisasinya;digitalisasinya
nemuin;menemukan
tanganin;menangani
platfrom;platform
direkomendasi;direkomendasikan
dipermudahkan;dipermudah
bank'an;bank-an
komplet;lengkap
kirim²;kirim-kirim
smsbanking;sms banking
kr;ke
punyah;punya
mksud;maksud
diven;defend
akaes;akses
topupdana;top-up dana
bamget;banget
melalaui;melalui
inbox;kotak masuk
hystory;riwayat
rama;ramah
benja;belanja
ema²;emak-emak
apapapun;apapun
♥️;cinta
digawai;di gawai
fitur-fitunya;fitur-fiturnya
alhmdllh;alhamdulillah
memliliki;memiliki
-bank;bank
banking-internet;banking internet
banking-kpr-buka;banking kpr buka
rekening-mbanking-mobile;rekening mobile banking
bertransakasi;bertransaksi
finasial;finansial
mudha;mudah
refundnya;refund-nya
transasksi;transaksi
mobole;mobile
kndala2;kendala-kendala
mempeltasikan;mempresentasikan
mengarti;mengerti
prose;proses
onlineatau;online atau
kemanabintang;kemana bintang
denga;dengan
offline/dikantor;offline/di kantor
nuat;buat
sngat²;sangat-sangat
workit;work it
dangan;dengan
luarr;luar
can;bisa
mudah²n;mudah-mudahan
cangih;canggih
ngecek2;memeriksa
trabel;trouble
tarabel;trouble
kerjsama;kerja sama
sophee;shopee
galbay;gagal bayar
kauh;jauh
hemt;hemat
tranferny;transfernya
direfresh;disegarkan
sumatera;sumatra
vocer;voucher
mslah;masalah
milih2;memilih-milih
timeout;waktu habis
benar²;benar-benar
pengropasiannya;pengoperasiannya
saldoki;saldoku
diitung;dihitung
realpict;real picture
kagada;tidak ada
data²;data-data
fiturnyaa;fiturnya
balesnya;balasnya
sukakk;suka
orang²;orang-orang
muncil;muncul
ngehubungin;menghubungi
gilak;gila
kepaksa;terpaksa
dialkuin;dilakukan
tingakatkan;tingkatkan
dimenu;di menu
nyamann;nyaman
bruba;berubah
bismilah;bismillah
efektifitas;efektivitas
mengulang2;mengulang-ulang
mengaktifnya;mengaktifkannya
brubah;berubah
dtnya;datanya
dmnta;diminta
kprnya;kpr-nya
bayr;bayar
merekomdasikannya;merekomendasikannya
vertigikasi;verifikasi
oii;oi
double/nunggak;ganda/nunggak
ngingetin;mengingatkan
debt;utang
collector;penagih
btnnya;btn-nya
alamakk;alamak
haplikasi;aplikasi
kebukak;terbuka
kereenn;keren
peaa;parah
abiss;habis
50rbb;50 ribu
tergunakan;terpakai
ms;masih
bny;banyak
recommen;rekomendasi
transaksik;transaksi
raferral;referral
usefull;berguna
abeess;habis
slsai;selesai
cust;pelanggan
cashless;non-tunai
tabungannha;tabungannya
siginifikan;signifikan
split;pisah
multibiller;multi-biller
multifinance;multi-finance
attitude;sikap
terdikteksi;terdeteksi
private;pribadi
ptivasi;privasi
lnapa;kenapa
whyy;mengapa
disamping;di samping
usan;usah
inofasi;inovasi
brada;berada
bnking;banking
ega;tidak
aplikasinua;aplikasinya
berjaln;berjalan
bertransaksii;bertransaksi
semakinn;semakin
suksess;sukses
direbetkan;diribetkan
ciptain;ciptakan
biaa;biasa
qiris;qris
tdnya;tadinya
flow;aliran
ilok;lihat
sop;prosedur operasi standar
code0010;kode 0010
ctt;catatan
adminiatration;administrasi
norespon;tidak ada respon
ngeaktivasi;aktivasi
masuk²padahal;masuk-masuk padahal
📌;simbol
kocaklah;lucu
aplikask;aplikasi
masalahya;masalahnya
disable;nonaktif
cashbacknya;uang kembaliannya
reportnya;laporannya
brekele;berkeliaran
mbaning;mobile banking
ternyataa;ternyata
lgii;lagi
gopaynya;gopay-nya
expired;kedaluwarsa
nyusahinnya;menyusahkannya
banget²;banget
rela2;rela-rela
norom;nomor
kikiyulianti;kiki yulianti
ngangsur;angsur
45475;2,7
loan;pinjaman
rekening/m-banking;rekening/mobile banking
penyelesaiaan;penyelesaian
seblm;sebelum
haduuh;aduh
djanck;jancuk
agngele;susah
pok;banget
telpn;telepon
nompr;nomor
otentifikasi;otentikasi
3bintang;3 bintang
mntk;minta
didaftar;terdaftar
ngabiskan;menghabiskan
badd;bad
indo/alfa;indomaret/alfamart
kembaliin;kembalikan
kide;kode
nanggung2;nanggung-nanggung
privikasi;privasi
dikataknnya;dikatakannya
cra;cara
dkbupaten;kabupaten
telp/login;telepon/login
cupu;pengecut
cantumin;sebutkan
veripikasi;verifikasi
cardless;tanpa kartu
difitur;di fitur
‍♂️;capek deh
lanva5;lama
balum;belum
feb;februari
hec;hack
sangatlag;sangatlah
cocokinya;cocoknya
kash;cash
visualnnlya;visualnya
approved;disetujui
dmasukin;dimmasukkan
diilang;hilang
😛;simbol
disediain;disediakan
nyenengin;menyenangkan
shoppeepay;shopeepay
mbengking;mobile banking
assalammualaikum;assalamualaikum
luemoott;lemot
todak;tidak
untu;untuk
jari/face;jari/wajah
sehinggah;sehingga
ha;hah
merchant2;merchant-merchant
kawatir;khawatir
membamtu;membantu
dimn;dimana
kaoan;kapan
memudhkan;memudahkan
pembyaran;pembayaran
shortcut;jalan pintas
hpbaru;hp baru
bgus²apa;bagus-bagus apa
lanjutin;lanjutkan
hanget;hangat
pembayaran2;pembayaran-pembayaran
dont;don't
ngeliat;melihat
dipilihan;di pilihan
mendaptar;mendaftar
slma;selama
tup;top
wahh;wah
smuanya;semuanya
telponin;telepon
dilebihin;ditambahkan
sgitu;segitu
hebatt;hebat
lupaan;kelupaan
aplikalsi;aplikasi
smfren;smartfren
recommand;rekomendasi
senagat;semangat
terimakaasii;terima kasih
mudayuntuk;mudah untuk
woey;woy
branch;cabang
bangetss;banget
terimakasii;terima kasih
mamantau;memantau
cashflownya;arus kasnya
cjma;cuma
shopeepau;shopeepay
designnya;desainnya
waktu-5;waktu 5
upgarde;upgrade
nmer;nomor
blajar;belajar
usrename;username
thuny;tahun
kmren2;kemarin-kemarin
penjelsannya;penjelasannya
phak;pihak
try;coba
translate;terjemahkan
transafer;transfer
motongnya;memotongnya
apaitu;apa itu
30000;30
nasabahmemang;nasabah memang
lebel;label
ngedadak;mendadak
nobile;mobile
prtama;pertama
tripel;triple
shoppepay;shopeepay
pengunaannya;penggunaannya
shopipay;shopeepay
toped;tokopedia
akktivasi;aktivasi
surjh;suruh
apalg;apalagi
payment2;pembayaran-pembayaran
less;kurang
diperbaìki;diperbaiki
😗;simbol
😱;simbol
abangkuh;abangku
woa;wah
jadiin;jadikan
shoopenya;shopee-nya
kenbanyak;kena banyak
kecewalah;kecewa lah
shope;shopee
namapasword;nama password
alkhmdulillah;alhamdulillah
manntap;mantap
trbntu;terbantu
pembyran;pembayaran
karru;kartu
tapcashnya;tapcash-nya
report;laporan
lappr;lapor
ngedipin;berkedip
dipindahin;dipindahkan
qja;aja
kocakk;kocak
bankinh;banking
makasihh;terima kasih
jalan²;jalan-jalan
aupport;support
khususx;khususnya
terstuck;terjebak
acakan;acak
kesni;kesini
ksna;kesana
pnh;penuh
langkah2;langkah-langkah
endingnya;akhirnya
jokes;lelucon
malam2;malam-malam
sesama/ewalet/ke;sesama/e-wallet/ke
pswd;password
swpwrti;seperti
bacot;bicara
pentingnya²;pentingnya-pentingnya
kridit;kredit
50gb;50 gb
dilanjut;dilanjutkan
danaadmin;admin dana
alfamartbiar;alfamart biar
terregistrasi;terdaftar
mbankerror;mobile bank error
jarinagn;jaringan
menermia;menerima
saldopun;saldo pun
notife;notifikasi
menbantu;membantu
klamaan;kelamaan
rrgistrasi;registrasi
billing;tagihan
flexibel;fleksibel
410.00;410
380.00;380
apkali;ap kali
unk;untuk
anjiing;anjing
tetiba;tiba-tiba
accaunt;akun
sucses;sukses
intern6;internet
bayabayar;bayar
kamvret;kampret
su;anjing
shg;sehingga
astafirullah;astaghfirullah
tanggl;tanggal
19rb;19 ribu
bniga;bni ga
nyangka;menyangka
masalahnyameningkatkan;masalahnya meningkatkan
nya-500;nya 500
berapabtuh;berapa tuh
mines;minus
benarin;benarkan
kerreen;keren
instal-uninstal;instal/uninstal
sanhat;sangat
dicall;di call
kukirim;ku kirim
transfer2;transfer-transfer
ecek2;ecek-ecek
hahah;haha
pastii;pasti
nungu;nunggu
giman;gimana
terzolimi;terzalimi
errorkah;error kah
bermenfaat;bermanfaat
per/hari;per hari
kirimm;kirim
samape;sampai
mehon;mohon
msukkan;masukkan
fave;favorit
memperaulit;memperumit
akul;aku
dimesin;di mesin
kak2;kakak-kakak
belakangbkrtu;belakang kartu
dihub;dihubungi
trmkassih;terima kasih
seken;bekas
11bank;11 bank
dapetin;dapatkan
cardles;tanpa kartu
kebanyakn;kebanyakan
mndingan;mendingan
assuu;asu
masukk/kecewa;masuk/kecewa
tnggu;tunggu
faham;paham
dihps;dihapus
semkin;semakin
trproses;terproses
tranaaksi;transaksi
kroschek;cross-check
sanagt;sangat
teedpat;terdapat
loguot;logout
malem²;malam-malam
bjir;anjir
gmau;tidak mau
unt;untuk
matitotal;mati total
refral;referral
makek;pakai
pky;pakai
uaai;woy
ngundu;mengunduh
intsal;instal
betull;betul
skn;sekarang
uplikasi;aplikasi
👉;simbol
diperingan;diringankan
uplikasi2;aplikasi-aplikasi
aplksnya;aplikasinya
sialann;sialan
jum'at;jumat
tunjukin;tunjukkan
5rb/bln;5 ribu/bln
kod3;kode
hpq;hp
usahakn;usahakan
kmu;kamu
nyungsep;terjatuh
pejelasannya;penjelasannya
amatiran;amatir
akoe;aku
terkedjoet;terkejut
layananlah;layanan
dbutuhin;dibutuhkan
mensolusikan;menyelesaikan
face-id;face id
bugg;bug
trnassaki;transaksi
laman2;laman-laman
kenaoa;kenapa
ngebag;nge-bug
molo;mulu
ampazz;ampas
old;lama
anjngg;anjing
balas2;balas-balas
mantappss;mantap
masup;masuk
ata;atau
asem;asam
sygng;sayang
pagi²;pagi-pagi
masalanya;masalahnya
beribet;berbelit
bagus²;bagus-bagus
failed;gagal
core;inti
journal;jurnal
mksudnyaa;maksudnya
seijin;seizin
trxtiktok;transaksi tiktok
trxfrefire;transaksi free fire
frefire;free fire
rat;rating
ret;rating
45415;3 sampai 5
besty;bestie
tuch;tuh
mahaall;mahal
lewar;lewat
‍♀️;aneh
bacaanya;bacaannya
smpek;sampai
pengirian;pengiriman
njing;anjing
maalam;malam
45323;1 sampai 2
maill;email
resgistrasi;registrasi
100jt;100juta
awallet;e-wallet
saha;siapa
atitude;attitude
sensi;sensitif
dengam;dengan
nlpn;nelpon
diln;di
diindo;diindonesia
darii;dari
nyanotice;tidaknotice
gutt;bagus
recommed;recommend
sukaes;sukses
tentan;tentang
propinsi;provinsi
mmpermudah;mempermudah
kesiapa2;kesiapasiapa
busines;bisnis
what'sapp;whatsapp
okeyy;oke
bnimobilebanking;bni mobile banking
dinegri;dinegeri
bnimobilenew;bni mobile new
plastic;plastik
developmen;development
goodluck;good luck
berbgai;berbagai
suksea;sukses
mantooll;mantul
ketipu;tertipu
asyiik;asyik
solusix;solusinya
lewak;lewat
sg;sangat
biruijo;biruhijau
gandoos;bagus
biaassaa;biasa
isthe;itu
mantullss;mantul
